team_id,franchiseId,shortName,teamName,abbreviation,city,link, 
1,23,New Jersey,Devils,NJD,"Newark, New Jersey",/api/v1/teams/1
4,16,Philadelphia,Flyers,PHI,"Philadelphia, Pennsylvania",/api/v1/teams/4
26,14,Los Angeles,Kings,LAK,"Los Angeles, California",/api/v1/teams/26
14,31,Tampa Bay,Lightning,TBL,"Tampa Bay, Florida",/api/v1/teams/14
6,6,Boston,Bruins,BOS,"Boston, Massachusetts",/api/v1/teams/6
3,10,NY Rangers,Rangers,NYR,"New York, New York",/api/v1/teams/3
5,17,Pittsburgh,Penguins,PIT,"Pittsburgh, Pennsylvania",/api/v1/teams/5
17,12,Detroit,Red Wings,DET,"Detroit, Michigan",/api/v1/teams/17
28,29,San Jose,Sharks,SJS,"San Jose, California",/api/v1/teams/28
18,34,Nashville,Predators,NSH,"Nashville, Tennessee",/api/v1/teams/18
23,20,Vancouver,Canucks,VAN,"Vancouver, British Columbia",/api/v1/teams/23
16,11,Chicago,Blackhawks,CHI,"Chicago, Illinois",/api/v1/teams/16
9,30,Ottawa,Senators,OTT,"Ottawa, Ontario",/api/v1/teams/9
8,1,Montreal,Canadiens,MTL,"Montréal, Quebec",/api/v1/teams/8
30,37,Minnesota,Wild,MIN,"Saint Paul, Minnesota",/api/v1/teams/30
15,24,Washington,Capitals,WSH,"Washington, D.C.",/api/v1/teams/15
19,18,St Louis,Blues,STL,"St. Louis, Missouri",/api/v1/teams/19
24,32,Anaheim,Ducks,ANA,"Anaheim, California",/api/v1/teams/24
27,28,Phoenix,Coyotes,PHX,"Phoenix, Arizona",/api/v1/teams/27
2,22,NY Islanders,Islanders,NYI,"New York, New York",/api/v1/teams/2
10,5,Toronto,Maple Leafs,TOR,"Toronto, Ontario",/api/v1/teams/10
13,33,Florida,Panthers,FLA,"Miami, Florida",/api/v1/teams/13
7,19,Buffalo,Sabres,BUF,"Buffalo, New York",/api/v1/teams/7
20,21,Calgary,Flames,CGY,"Calgary, Alberta",/api/v1/teams/20
21,27,Colorado,Avalanche,COL,"Denver, Colorado",/api/v1/teams/21
25,15,Dallas,Stars,DAL,"Dallas, Texas",/api/v1/teams/25
29,36,Columbus,Blue Jackets,CBJ,"Columbus, Ohio",/api/v1/teams/29
52,35,Winnipeg,Jets,WPG,"Winnipeg, Manitoba",/api/v1/teams/52
22,25,Edmonton,Oilers,EDM,"Edmonton, Alberta",/api/v1/teams/22
54,38,Vegas,Golden Knights,VGK,"Las Vegas, Nevada",/api/v1/teams/54
12,26,Carolina,Hurricanes,CAR,"Raleigh, North Carolina",/api/v1/teams/12
53,28,Arizona,Coyotes,ARI,"Phoenix, Arizona",/api/v1/teams/53
11,35,Atlanta,Thrashers,ATL,"Atlanta, Georgia",/api/v1/teams/11
