city,elevation (ft),median household income ($)
"Pittsburgh, Pennsylvania",764,54306
"St. Petersburg, Florida",43,64375
"Kansas City, Missouri",899,60042
"Milwaukee, Wisconsin",617,45318
"Baltimore, Maryland",33,54124
"Arlington, Texas",604,65481
"Atlanta, Georgia",1050,69164
"Cincinnati, Ohio",627,45235
"San Diego, California",66,89457
"Phoenix, Arizona",1086,64927
"Anaheim, California",157,81806
"Oakland, California",43,85628
"Bronx, New York",33,70663
"Cleveland, Ohio",653,33678
"Miami, Florida",6.6,47860
"Washington, D.C.",23,93547
"San Francisco, California",52,126187
"Detroit, Michigan",600,34762
"Queens, New York",33,70663
"Chicago, Illinois",587,65781
"Denver, Colorado",5280,78177
"Toronto, Ontario",302,96700
"Seattle, Washington",177,105391
"Boston, Massachusetts",46,81744
"Philadelphia, Pennsylvania",39,52649
"Minneapolis, Minnesota",830,70099
"St. Louis, Missouri",466,48751
"Houston, Texas",39,56019
"Los Angeles, California",292,69778
"New York, New York",33,70663
"Dallas, Texas",420,58231
"Salt Lake City, Utah",4262,65880
"San Jose, California",85,125075
"Vancouver, British Columbia",121,82000
"Portland, Oregon",62,78476
"Montréal, Quebec",154,63600
"Orlando, Florida",98,58968
"Saint Paul, Minnesota",794,63483
"Nashville, Tennessee",558,65565
"Charlotte, North Carolina",751,68367
"Austin, Texas",489,78965
"New Orleans, Louisiana",0,45594
"Oklahoma City, Oklahoma",1201,59679
"Sacramento, California",30,71074
"Indianapolis, Indiana",719,54321
"Charlotte, North Carolina",751,68367
"Memphis, Tennessee",256,43981
"San Antonio, Texas",650,55084
"Buffalo, New York",600,42186
"Green Bay, Wisconsin",591,55221
"Jacksonville, Florida",16,58263
"Tampa Bay, Florida",3.3,59893
"Foxborough, Massachusetts",285,95410
"Las Vegas, Nevada",2001,61356
"Winnipeg, Manitoba",764,80000
"Raleigh, North Carolina",315,72996
"Calgary, Alberta",3425,98000
"Edmonton, Alberta",2192,90000
"Columbus, Ohio",771,58575
"Ottawa, Ontario",226,102000
"Newark, New Jersey",30,41335
